SubmissionDate,start,end,date_de_debut_saisie,proprio_appareil,localisation,meteo,temperature,qaire_parking,arrive_retour,first_step,profil-nb_visite_parc,profil-lieu_sejour,profil-sejour,profil-duree_sejour,profil-moyen_transport_ecrins,profil-autre_activite,profil-materiel,profil-niveau_experience,profil-nbfois_site,profil-saison,profil-destination_lieu,profil-moyen_transport_rando,profil-dfficulte_parking,profil-parking_tail,profil-parking_emp,profil-parking_gol,profil-navette_on,profil-navette_condition,profil-vu_panneaux,profil-lu_panneaux,profil-connaissance_zone_reglemente,profil-connaissance_reglementation,profil-theme_reg,profil-motivations,profil-tps_marche,profil-activite_sentier,profil-nuit_bivouac,profil-bivouac_lieu,profil-bivouac_savoir,profil-bivouac_avis_reg,visiteur_connectes-object_connecte,visiteur_connectes-application_mobile_utilisee,visiteur_connectes-quelle_utilisation_appli,visiteur_connectes-partage_pour_parc,experience_visiteur-avis_frequentation_sentier,experience_visiteur-derangement_frequentation,experience_visiteur-satisfaction,experience_visiteur-manque,experience_visiteur-renseignement_biodiv,experience_visiteur-mots_experience,nb_groupe,type_groupe,age,genre,categorie_socio_pro,pays_residence,dep_france,canton_suisse,region_italie,commune_france,commune_suisse,commune_italie,inondation_entendu,inondation_influence,meta-instanceID,meta-instanceName,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2024-07-03T11:39:58.332Z,2024-07-03T13:17:22.522+02:00,2024-07-03T13:39:59.636+02:00,2024-07-03,Baptiste PNE,pied_du_col,peunuageux,11,oui,depart,,tres_reguliermeent,autre,non,2-4j,voiture,escalade,complet,experimente,1erefois,,appli_rando,voiture,non,,,,ouisi,horaires frequence,non,,oui,partiellement,bivouac,activite_sportive,non,escalade,,,,,oui,ignrando,geolocalisation,sa,,,,,,,2,groupe_ami,35,homme,cadre,FRA,13,,,,,,non,,uuid:a061a49b-c77d-4223-a6ca-b101b53e9024,Ecrins fréquentation -2024-07-03,uuid:a061a49b-c77d-4223-a6ca-b101b53e9024,79,OT,0,0,,,collect:Fw7mdqo2b8blwhk7,0,20240702
2024-07-03T11:25:38.456Z,2024-07-03T13:18:28.871+02:00,2024-07-03T13:25:37.647+02:00,2024-07-03,Émilie PNE,casset,peunuageux,17,oui,depart,,ponctuellement,gite_location,oui,Plus-de-7j,voiture,parapente rando_demi_journee,complet,un_peu_experimente,1erefois,,hebergeur,voiture,non,,,,oui,,non,,non,,,beaute_paysage calme_tranquilite decouverte_montagne_famille,non,rando_demi_journee,,,,,non,,,oui,,,,,,,3,groupe_fam,25,homme,autre,FRA,77,,,77083,,,non,,uuid:ef1641c7-e9dc-4877-afac-46612bc6a524,Ecrins fréquentation -2024-07-03,uuid:ef1641c7-e9dc-4877-afac-46612bc6a524,79,OT,0,0,,,collect:hvSbEAzsTyccGfhy,0,20240702
2024-07-03T11:17:13.880Z,2024-07-03T13:10:13.233+02:00,2024-07-03T13:17:14.481+02:00,2024-07-03,Juliette Frigot PNE,pied_du_col,peunuageux,11,oui,depart,,tres_reguliermeent,residence_principale,non,,,alpinisme vtt canyonning_rafting escalade 2h_ou_plus_et_refuge 2h_ou_plus_et_bivouac via_ferrata,complet,tres_experimente,plusde20,hiver printemps ete,habitue,voiture,non,,,,oui,,non,,oui,oui,bivouac feu chien survol cueillette,beaute_paysage activite_sportive,oui_bcp,alpinisme,,,,inutile,oui,autre,geolocalisation prevoir_parcours,oui,,,,,,,2,groupe_ami,42,homme,employe,FRA,05,,,05098,,,oui,oui_unpeu,uuid:6f6ef390-3c1a-4039-8bcb-a5ffb6e679fe,Ecrins fréquentation -2024-07-03,uuid:6f6ef390-3c1a-4039-8bcb-a5ffb6e679fe,79,OT,0,0,,,collect:Su2COkvB2XMGTfey,0,20240702
2024-07-03T11:14:08.747Z,2024-07-03T13:05:42.541+02:00,2024-07-03T13:14:10.272+02:00,2024-07-03,Baptiste PNE,pied_du_col,peunuageux,11,oui,depart,,premierefois,gite_location,non,2-4j,voiture,velo_route trail,complet,un_peu_experimente,1erefois,,appli_rando,voiture,non,,,,ouisi,autre,non,,oui,non,,beaute_paysage,oui_unpeu,rando_demi_journee,,,,,oui,garmin,enregistrer_trace_au_prealable partager_trace_a_posteriori,oui,,,,,,,2,groupe_couple,39,homme,cadre,ESP,,,,,,,non,,uuid:a1cb5840-ccc3-42b5-983a-893a5c3a2b1e,Ecrins fréquentation -2024-07-03,uuid:a1cb5840-ccc3-42b5-983a-893a5c3a2b1e,79,OT,0,0,,,collect:Fw7mdqo2b8blwhk7,0,20240702
2024-07-03T11:07:02.437Z,2024-07-03T13:00:21.937+02:00,2024-07-03T13:07:03.204+02:00,2024-07-03,Juliette Frigot PNE,pied_du_col,,,oui,depart,,tres_reguliermeent,autre,non,2-4j,voiture,alpinisme escalade,complet,tres_experimente,plusde20,ete hiver,habitue,voiture,non,,,,ouisi,horaires frequence bus_existants pascher gratuit,non,,oui,oui,chien feu survol cueillette velo bivouac,activite_sportive,oui_bcp,alpinisme,,,,,oui,iphigenie,geolocalisation,sa,,,,,,,2,groupe_couple,31,homme,artisan,FRA,38,,,38185,,,oui,non,uuid:8a7ae2cb-cb19-4510-ab94-bb601471b5d2,Ecrins fréquentation -2024-07-03,uuid:8a7ae2cb-cb19-4510-ab94-bb601471b5d2,79,OT,0,0,,,collect:Su2COkvB2XMGTfey,0,20240702
2024-07-03T11:05:58.704Z,2024-07-03T12:59:46.059+02:00,2024-07-03T13:05:58.057+02:00,2024-07-03,Émilie PNE,casset,peunuageux,17,oui,depart,,ponctuellement,gite_location,oui,5-7j,voiture,rando_demi_journee balade_inf_2h,complet,un_peu_experimente,plusde5,,habitue,voiture,non,,,,non,,non,,oui,partiellement,chien dechet,beaute_paysage biodiv acces,non,rando_demi_journee,,,,,non,,,sa,,,,,,,2,groupe_couple,74,femme,retraite,CHE,,VS,,,6022,,oui,non,uuid:186ed6cd-dd03-4852-ad57-a730976adfd8,Ecrins fréquentation -2024-07-03,uuid:186ed6cd-dd03-4852-ad57-a730976adfd8,79,OT,0,0,,,collect:hvSbEAzsTyccGfhy,0,20240702
2024-07-03T11:04:49.110Z,2024-07-03T12:31:01.625+02:00,2024-07-03T13:04:50.442+02:00,2024-07-03,Baptiste PNE,pied_du_col,peunuageux,11,oui,depart,,premierefois,gite_location,non,2-4j,voiture,velo_route rando_une_journee,complet,un_peu_experimente,1erefois,,hebergeur,pied,,,,,non,,oui,oui,non,,,beaute_paysage,non,rando_demi_journee,,,,,oui,autre,performance,oui,,,,,,,2,groupe_couple,30,homme,prof_inter,NLD,,,,,,,oui,oui_completement,uuid:2e898d02-246a-40d8-b8e8-c90fbc204f49,Ecrins fréquentation -2024-07-03,uuid:2e898d02-246a-40d8-b8e8-c90fbc204f49,79,OT,0,0,,,collect:Fw7mdqo2b8blwhk7,0,20240702
2024-07-03T10:23:05.007Z,2024-07-03T12:15:16.240+02:00,2024-07-03T12:23:04.422+02:00,2024-07-03,Émilie PNE,casset,Soleil,15,oui,retour,non,tres_reguliermeent,residence_secondaire,oui,Plus-de-7j,voiture,balade_inf_2h,complet,un_peu_experimente,plusde20,ete hiver,habitue,voiture,non,,,,non,,non,,oui,partiellement,sentier cueillette dechet,beaute_paysage fraicheur biodiv,oui_bcp,balade_inf_2h,,,,,non,,,non,tres_faible,pas_derangeant,très_satisfaisante,poubelles,pendant,Bien,3,groupe_ami,65,femme,retraite,BEL,,,,,,,oui,non,uuid:98591d58-e006-460c-95d7-9c42b328c303,Ecrins fréquentation -2024-07-03,uuid:98591d58-e006-460c-95d7-9c42b328c303,79,OT,0,0,,,collect:hvSbEAzsTyccGfhy,0,20240702
2024-07-03T10:20:50.555Z,2024-07-03T12:06:34.875+02:00,2024-07-03T12:20:51.012+02:00,2024-07-03,Juliette Frigot PNE,pied_du_col,Soleil peunuageux,,oui,depart,,1fois,itinerance,non,Plus-de-7j,train bus,2h_ou_plus_et_refuge 2h_ou_plus_et_bivouac,complet,experimente,1erefois,,famille_ami_connaissance,pied,,,,,non,,oui,non,oui,oui,bivouac peche feu chien,beaute_paysage biodiv decouverte_montagne_famille,oui_unpeu,2h_ou_plus_et_bivouac,12,biv_emparis biv_muzelle,oui,necessaire_justifie,oui,komoot,prevoir_parcours geolocalisation,oui,,,,,,,2,groupe_ami,26,femme,cadre,NLD,,,,,,,oui,non,uuid:d73c24a5-5dc8-4f58-a139-75bde47238ff,Ecrins fréquentation -2024-07-03,uuid:d73c24a5-5dc8-4f58-a139-75bde47238ff,79,OT,0,0,,,collect:Su2COkvB2XMGTfey,0,20240702
2024-07-03T10:04:08.068Z,2024-07-03T11:58:22.095+02:00,2024-07-03T12:04:05.979+02:00,2024-07-03,Émilie PNE,casset,Soleil,15,oui,depart,,ponctuellement,gite_location,oui,Plus-de-7j,voiture,balade_inf_2h rando_demi_journee,complet,un_peu_experimente,plusde20,ete hiver,famille_ami_connaissance,voiture,non,,,,oui,,oui,oui,oui,partiellement,cueillette sentier,resto_refuge,oui_bcp,balade_inf_2h,,,,,non,,,non,,,,,,,7,groupe_ami,86,homme,retraite,FRA,69,,,69028,,,oui,non,uuid:e88b476f-82e0-4226-a466-d527dec6b01d,Ecrins fréquentation -2024-07-03,uuid:e88b476f-82e0-4226-a466-d527dec6b01d,79,OT,0,0,,,collect:hvSbEAzsTyccGfhy,0,20240702
